,height,search_num,final_win_num,G,PER,WS,TRB,AST,PTS,G_sum,PER_sum,WS_sum,TRB_sum,AST_sum,PTS_sum,Pos_C,Pos_PF,Pos_PF-C,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-PF,Pos_SG,Pos_SG-SF,HoF
45,-1.592414513,-0.359641463,-0.29995078199999997,0.9125987259999999,0.26547419899999997,0.581223146,-0.19883520000000002,2.222658727,0.985183093,0.971396936,0.632685151,0.460893868,-0.126981339,1.8127917619999998,0.62977431,0,0,0,1,0,0,0,0,0,0
46,-0.199116017,-0.339018418,-0.29995078199999997,-0.44818948,-0.5810188239999999,-0.788712179,-0.569088977,-0.496380146,-0.479503542,-0.6880089359999999,-0.724325123,-0.581366096,-0.5766049529999999,-0.5240280279999999,-0.58410794,0,0,0,0,0,1,0,0,0,0
48,-1.592414513,-0.353923465,-0.29995078199999997,-1.739193675,1.755778817,-0.788712179,-0.873776982,-0.75343214,-0.960951463,-0.930983507,-0.643397112,-0.584840296,-0.6347497639999999,-0.56983399,-0.662843096,0,0,0,1,0,0,0,0,0,0
49,-1.592414513,-0.319628667,-0.29995078199999997,-0.099269427,-0.211423279,-0.596921234,-0.5382344960000001,-0.7648566729999999,-0.715141785,-0.759796878,-0.7501282570000001,-0.546624097,-0.588588998,-0.569118272,-0.633487519,0,1,0,0,0,0,0,0,0,0
50,1.4085360930000002,-0.34825163299999995,-0.29995078199999997,0.9125987259999999,0.26547419899999997,0.6908179720000001,1.7681379940000002,-0.079384688,0.483392301,1.846657604,1.28010924,0.728407259,2.1419978459999998,0.09077387099999999,0.582533216,1,0,0,0,0,0,0,0,0,0
51,0.658298441,-0.35685171299999996,-0.29995078199999997,0.9125987259999999,0.897363357,1.293589515,1.8529878180000001,1.765677404,1.5819072769999998,1.7665864390000001,1.7609858280000001,1.9756450159999999,2.4353850219999997,2.294470083,2.03456501,1,0,0,0,0,0,0,0,0,0
52,0.336768019,-0.361544824,-0.29995078199999997,-1.808977685,0.7781389879999999,-0.788712179,-0.943199565,-0.804842539,-0.9795990940000001,-0.9503110290000001,-0.744263908,-0.570943497,-0.642739128,-0.576991172,-0.668092106,0,0,0,0,0,1,0,0,0,0
53,1.1941824779999999,-0.127050189,-0.29995078199999997,-1.146029585,-0.9506143690000001,-0.788712179,-0.812068019,-0.7877057390000001,-0.949084789,-0.897850611,-0.914330018,-0.570943497,-0.6276481079999999,-0.574844017,-0.6645927660000001,1,0,0,0,0,0,0,0,0,0
54,-1.0565304759999998,-0.33855675700000004,-0.29995078199999997,0.9125987259999999,0.6350697439999999,1.540177874,1.205043707,2.376889924,1.736174041,1.380035986,1.289492198,1.3537632380000002,1.280478167,2.423299352,1.5660422330000001,0,0,0,0,0,0,0,1,0,0
55,0.122414405,-0.297732758,-0.29995078199999997,0.9125987259999999,-0.09219890900000001,0.38943220100000003,0.43753848,0.046285176,-0.07095090400000001,0.7698384859999999,0.043904548,0.22812247600000002,0.240529374,0.029222109,-0.069316108,0,0,0,0,0,1,0,0,0,0
56,-0.735000054,-0.299645353,-0.29995078199999997,-1.808977685,-0.39025983299999994,-0.843509592,-0.935485945,-0.776281206,-0.9745133770000001,-0.9503110290000001,-0.8592051409999999,-0.577891896,-0.641851421,-0.573412581,-0.667508883,0,0,0,0,0,0,0,1,0,0
