n_height,n_search_num,n_final_win_num,n_G_sum,n_PER_sum,n_WS_sum,n_TRB_sum,n_AST_sum,n_PTS_sum,HoF,ratio
0.274149048,2.905620927,3.829302105,2.536359874,1.693346742,2.745320818,3.653288948,0.376382717,1.682569005,0,0.179254681
-0.440811973,-0.326071631,-0.297288309,-0.999933478,-1.065476828,-0.609632905,-0.674674464,-0.579923235,-0.699947713,0,0
-0.440811973,0.128221607,-0.297288309,-0.626178896,-0.806251104,-0.567856661,-0.549207631,-0.371606077,-0.424446167,0,-0.039898584
0.784835493,-0.324269931,-0.297288309,-0.811749353,-0.916559922,-0.593565119,-0.649838026,-0.48422754,-0.619915805,0,-0.163351067
-1.053635706,-0.326647247,-0.297288309,-1.005160814,-0.977229773,-0.603205791,-0.682810538,-0.574715305,-0.699210092,0,1.136752137
-0.440811973,-0.321653493,-0.297288309,1.480437838,1.085545148,0.839681394,0.617248522,1.022816897,0.52229074,0,0.684420083
-1.56432215,0.305742003,-0.297288309,-0.971183125,-0.994879184,-0.603205791,-0.678100179,-0.564299448,-0.698472471,0,0
-0.440811973,-0.326045135,-0.297288309,-0.997319809,-0.932003157,-0.603205791,-0.680669466,-0.577970261,-0.696997227,0,0
0.580560915,0.891956742,-0.297288309,1.169411298,1.392203666,0.415491844,0.675057471,-0.238152898,0.150160807,0,0.327135447
0.784835493,-0.325362874,-0.297288309,-0.393562408,-0.297727447,-0.593565119,-0.421599726,-0.527192954,-0.486037543,0,0.175232794
-0.440811973,-0.270868087,-0.297288309,-0.921523426,-0.849271543,-0.599992234,-0.67724375,-0.564299448,-0.690358636,0,0
0.580560915,-0.276564637,-0.297288309,0.59179058,0.154538713,0.196969954,0.410420944,-0.301950028,-0.12847563,0,0.147283861
0.274149048,-0.306902078,2.453771967,-0.464131455,-0.733447283,-0.648195592,-0.503388685,-0.408712571,-0.441595861,0,0.102193013
0.784835493,-0.323746643,-0.297288309,0.9211128,0.792123689,0.007370079,0.809088594,-0.355331299,-0.147100567,0,0.340355079
-2.075008594,-0.301006811,-0.297288309,-0.99470614,-0.790807868,-0.606419347,-0.681525894,-0.56560143,-0.697550444,0,0
0.274149048,-0.286103047,-0.297288309,-0.388335072,-0.462087587,-0.564643104,-0.400189004,-0.550628634,-0.610879944,0,1.821749694
-0.440811973,-0.316705443,-0.297288309,1.872488098,3.20898992,4.345672305,2.053051561,1.538401861,4.143642389,1,0
-0.440811973,-0.176477578,-0.297288309,0.317355398,0.183219006,-0.079395966,-0.011370286,-0.137249274,-0.335562803,0,0.184949036
0.784835493,-0.325694069,-0.297288309,-0.01458049,-0.084831425,-0.375043229,-0.128701044,-0.498549345,-0.277475128,0,0.136046415
0.580560915,-0.317765266,-0.297288309,0.683268974,0.869339862,0.299803784,0.707173555,-0.32147976,0.237937738,0,0.302962988
1.80620838,-0.318560133,-0.297288309,-0.796067342,0.15674489,-0.577497332,-0.622860515,-0.568856385,-0.666754756,0,0.276923077
0.274149048,-0.325515223,-0.297288309,-0.84834071,-0.390386855,-0.590351562,-0.658830529,-0.566903412,-0.653108762,0,0.048259923
1.091247359,-0.321554134,-0.297288309,-0.47197246,-0.598870523,-0.538934647,-0.362506132,-0.527192954,-0.501527589,0,0.042033722
2.112620247,-0.325766932,-0.297288309,-0.981637799,-1.051136682,-0.616060019,-0.668679462,-0.575366296,-0.696628417,0,-0.095741118
-0.440811973,-0.313393496,-0.297288309,-0.877091063,-0.688220667,-0.609632905,-0.661399816,-0.561695483,-0.673208941,0,0.317459491
-0.236537395,-0.30551106,-0.297288309,-0.950273778,-0.970611244,-0.603205791,-0.67424625,-0.575366296,-0.695153174,0,0
0.069874471,0.872085055,-0.297288309,2.301129717,2.522869064,2.79995129,2.374640611,2.398361128,4.264796683,1,-0.333333334
